name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Antique Victoria Set-297-55,PB-297-55-VC,Selective brown stones are used with other multi-stone to keep your head high & style higher.,,,,,1,7850,7850,,,,,PD-297-55-01.jpg,AQ VICTORIA SET,Selective brown stones are used with other multi-stone to keep your head high & style higher.
Antique Victoria Set-160-60,PB-160-60-VC,Green Emerald necklace with beautiful green stone gives a dynasty look.,,,,,1,17500,17500,,,,,"PB-160-60-01 (1).jpg, PB-160-60-01 (3).jpg",AQ VICTORIA SET,Green Emerald necklace with beautiful green stone gives a dynasty look.
Antique Victoria Set-9313-22-,Set-9313-22-VC,Stunning Victoria set for the elegant queen in you.,,,,,1,28500,28500,,,,,"Set-9313-22-01 (1).jpg, Set-9313-22-01 (3).jpg",AQ VICTORIA SET,Stunning Victoria set for the elegant queen in you.
Antique Victoria Set-9508-22,Set-9508-22-VC,Triplet beauty is enhanced in this dazzling Necklace set.,,,,,1,19500,19500,,,,,"Set-9508-22-01 (1).jpg, Set-9508-22-01 (3).jpg, Set-9508-22-01 (4).jpg",AQ VICTORIA SET,Triplet beauty is enhanced in this dazzling Necklace set.
Antique Victoria Set-9509-22,Set-9509-22-VC,Touch of Queen & elegance that personified this stunning necklace.,,,,,1,45000,45000,,,,,"Set-9509-22-01 (1).jpg, Set-9509-22-01 (4). jpg, Set-9509-22-01 (3).jpg",AQ VICTORIA SET,Touch of Queen & elegance that personified this stunning necklace.
AntiqueVictoria Set-8236-16,Set-8236-16-VC,"This is only for the lady who rules the world with her style, brilliant piece of design can see in this multi- precious stone embedded in this classy Necklace set.",,,,,1,17500,17500,,,,,"Set-8236-16-01 (1).jpg, Set-8236-16-01 (3).jpg, Set-8236-16-01 (4).jpg",AQ VICTORIA SET,"This is only for the lady who rules the world with her style, brilliant piece of design can see in this multi- precious stone embedded in this classy Necklace set."
