name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Micro Juda-011-9025,Juda-011-9025-MC,"Pink perfect for pinkish beauty, juda embedded with pink stones & other percious stones clear all eyes with it's facinating look.",,,,,1,900,900,,,,,Juda-011-9025-01 (1).jpg,MICRO JUDA,Juda-011-9025-01 (1).jpg
Micro Juda-017-9025,Juda-017-9025-MC,,,,,,1,1100,1100,,,,,"Juda-017-9025-01 (1).jpg, Juda-017-9025-01 (4).jpg, Juda-017-9025-01 (6).jpg",MICRO JUDA,"Juda-017-9025-01 (1).jpg, Juda-017-9025-01 (4), Juda-017-9025-01 (6)"
Micro Juda-005-9025,Juda-005-9025-MC,Hirerarchy in its design with selective beautiful pearls transform this juda into eye catching jewellery.,,,,,1,1100,1100,,,,,Juda-005-9025-01 (1).jpg,MICRO JUDA,Juda-005-9025-01 (1).jpg
Micro Juda-005-9025,Juda-004-9025-MC,"Piece of Art an extra- ordinary design, this two tone juda will enhance your beauty.",,,,,1,1050,1050,,,,,Juda-004-9025-01 (1).jpg,MICRO JUDA,Juda-004-9025-01 (1).jpg
Micro Juda-032-9025,Juda-032-9025,Hybrid of two design make this juda stunning.,,,,,1,850,850,,,,,Juda-032-9025-01 (2).jpg,MICRO JUDA,Juda-032-9025-01 (2).jpg
Micro Juda-282-68,Juda-282-68-MC,Superior design & elegant style make this juda above all jewellery.,,,,,1,1450,1450,,,,,Juda-282-68-01 (1).jpg,MICRO JUDA,Juda-282-68-01 (1).jpg
Micro Juda-276-68,Juda-276-68-MC,,,,,,1,2350,2350,,,,,Juda-276-68-01 (1).jpg,MICRO JUDA,Juda-276-68-01 (1).jpg
Micro Juda-289-68,Juda-289-68-MC,,,,,,1,2350,2350,,,,,Juda-289-68-01 (1).jpg,MICRO JUDA,Juda-289-68-01 (1).jpg
