name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Bangle BAN-5110-22-AD,BAN-5110-22-AD,Delicate bangle with treated emerald and american diamond in 92.5 sterling silver,,,,,1,2795,2795,,,,,BAN-5110-22-AD_(1).jpg,AD Bangle,Delicate bangle with treated emerald and american diamond in 92.5 sterling silver
American Diamond BAN-5109-22-AD,BAN-5109-22-AD,Delicate bangle with treated ruby and american diamond in 92.5 sterling silver,,,,,1,2795,2795,,,,,BAN-5109-22-AD_(2).jpg,AD Bangle,Delicate bangle with treated ruby and american diamond in 92.5 sterling silver
American Diamond KDA-1435-111-AD,KDA-1435-111-AD,"Openable bangle with replicate arrangement of american diamond, ruby and emerald in 92.5 sterling silver",,,,,1,3650,3650,,,,,KDA-1435-111-AD.jpg,AD Bangle,"Openable bangle with replicate arrangement of american diamond, ruby and emerald in 92.5 sterling silver"
American Diamond Bangle BAN-7192-22-AD,BAN-7192-22-AD,delicate bangle with treated blue sapphire and american diamond in 92.5 sterling silver,,,,,1,5250,5250,,,,,"BAN-7192-22-AD.jpg, BAN-7192-22-AD_(02).jpg, BAN-7192-22-AD_(2).jpg",AD Bangle,delicate bangle with treated blue sapphire and american diamond in 92.5 sterling silver
American Diamond KDA-1436-111-AD,KDA-1436-111-AD,Bold american diamond bangle with 2-tone finish in 92.5 sterling silver,,,,,1,2450,2450,,,,,KDA-1436-111-AD.jpg,AD Bangle,Bold american diamond bangle with 2-tone finish in 92.5 sterling silver
