name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Micro Pendant Set,PDS-749-9040-MC,Beautifully designed Micro pendant set with Polish Gold - ( Material - Brass ),,,,,10,1360,1360,,,,,PDS-749-9040-MC.jpg,Micro Pendant Set,Beautifully designed Micro pendant set with Brass and Polish Gold
Micro Set,Set-8984-100-MC,Magnificant  Micro set Polished with Gold (Material - Brass) ,,,,,10,950,950,,,,,Set-8984-100-01-MC.jpg,Micro Set,Magnificant  Micro set with Brass and Polish Gold
Micro Set,Set-8583-135-MC,Marvelous Micro set designed with Meenakari (Material - Brass),,,,,10,8150,8150,,,,,Set-8583-135-MC.jpg,Micro Set,Marvelous Micro set designed with Brass andMeenakari 
Antique Set,Set-9357-06-AT,Gorgeous Antique Set designed with Mag Mala  Chain and Polki Stone ,,,,,10,2590,2590,,,,,Set-9357-06-AT.jpg,Antique Set,"Gorgeous Antique Set with Mag Mala  Chain , Polki Stone "
Micro Set,Set-8881-100-MC,Elegant  Micro Set designed with Ball Chain  and Meenakari ,,,,,10,2090,2090,,,,,Set-8881-100-MC.jpg,Micro Set,"Elegant Ball Chain  , Meenakari "
Micro Set,Set-7916-16-MC,Amazing Micro Set designed with Mag Mala  Chain and Polished with Gold (Material - Brass),,,,,10,4500,4500,,,,,Set-7916-16-MC.jpg,Micro Set,"Amazing Micro Set with Mag Mala  Chain, Gold Polish With Brass "
Micro Set,Set-8855-100-MC,"Artistic  Micro Set designed with Mag Mala , Chain and Polished with Gold (Material - Brass)",,,,,10,1850,1850,,,,,Set-8855-100-MC.jpg,Micro Set,"Artistic  Micro Set with Mag Mala  Chain, Gold Polish With Brass "
Micro Set,Set-8826-100-MC,Dazzling Micro set designed With Meenakari Beats (Material - Brass),,,,,10,1750,1750,,,,,Set-8826-100-MC.jpg,Micro Set,Dazzling Micro set With Brass  and Meenakari Beats  
Antique Set,Set-9379-06-AT ,Unique Antique Set designed with Mag Mala Chain and Polished with Gold (Material - Brass),,,,,10,4500,4500,,,,,Set-9379-06-AT.jpg,Antique Set,Unique Antique Set with Mag Mala Chain with Brass and Polish Gold
Funky Set,Chain-623-16-FK.,Sparkling Antique Victoria Set designed with Gold Plated Chain and Fresh Water Pearl ,,,,,10,1050,1050,,,,,CHN-623-16-FK.jpg,Antique Victoria Set,"Sparkling Antique Victoria Set with Gold Plated Chain, Fresh Water Pearl "
Micro Payal,Payal-1154-100-MC,A classy contemporary Micro Payal Polished with Gold (Material - Brass),,,,,10,2450,2450,,,,,Pay-1154-100-01-MC-(1).jpg,Micro Payal,A classy contemporary design with Brass and Polish Gold
Micro Payal,Payal-1163-100-MC,Exquisite  Micro Payal  Polished with Gold Plated (Material - Brass),,,,,10,3950,3950,,,,,Pay-1163-100-01-MC-(1).jpg,Micro Payal,Exquisite  Micro Payal  designed with Brass and Gold Plated Polish 
Micro Payal,Payal-1175-75-MC,Marvelous Micro Payal Polished with Gold Plated (Material - Brass),,,,,10,950,950,,,,,Pay-1175-75-01-MC-(1).jpg,Micro Payal,Marvelous Micro Payal designed with Brass and Gold Plated Polish 
Antique Payal,Payal-1127-100-AT,Magnificant Antique Payal Polished with Gold Plated (Material - Brass),,,,,10,1550,1550,,,,,Pay-1127-100-01-MC-(1).jpg,Antique Payal,Magnificant Antique Payal with Brass and Gold Plated Polish 
Micro Payal,Payal-1151-100-MC,Adorable Micro Payal Polished with Gold Plated (Material - Brass),,,,,10,1850,1850,,,,,"Pay-1151-100-01-MC-(1).jpg,Pay-1151-100-01-MC-(3).jpg",Micro Payal,Adorable Micro Payal with Brass and Gold Plated Polish 
Micro Payal,Payal-1295-100-MC,Gorgeous Micro Payal Polished with Gold Plated (Material - Brass),,,,,10,1950,1950,,,,,Pay-1295-100-01-MC-(1).jpg,Micro Payal,Gorgeous Micro Payal with Brass and Gold Plated Polish 
Antique Payal,Payal-1078-100-AT,Elegant Antique Payal Polished with Gold Plated (Material - Brass),,,,,10,1800,1800,,,,,Pay-1078-100-01-AT(1).jpg,Antique Payal,Elegant Antique Payal with Brass and Gold Plated Polish 
Micro Payal,Payal-1169-75-MC,Sophisticated and designer Micro Payal Polished with Gold Plated (Material - Brass),,,,,10,2790,2790,,,,,"Pay-1169-75-01-MC-(1).jpg,Pay-1169-75-01-MC-(4).jpg",Micro Payal,Sophisticated and designer Micro Payal with Brass and Gold Plated Polish 
