name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Antique Juda-222-06,Juda-222-06-AT,,,,,,,3700,3700,,,,,Juda-222-06(01)AT.jpg,AQ JUDA,
Antique Juda-217-06,Juda-217-06-AT,,,,,,,2700,2700,,,,,Juda-217-06-01 (1).jpg,AQ JUDA,
Antique Juda-215-06,Juda-215-06-AT,,,,,,,1650,1650,,,,,Juda-215-06-01 (1).jpg,AQ JUDA,
Antique Juda-006-9025,Juda-006-9025-AT,,,,,,,1125,1125,,,,,Juda-006-9025-01 (1).jpg,AQ JUDA,
