name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Antique Juda,Juda-219-06-AT,"Designer Antique Juda with Brass, Antique Polish and Octon Stone",,,,,10,4800,4800,,,,,Juda-219-06-(01)AT.jpg,Antique Juda,"Designer Antique Juda with Brass, Antique Polish and Octon Stone"
Antique Juda,Juda-222-06-AT,"Beautifully designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,3700,3700,,,,,Juda-222-06-AT.jpg,Antique Juda,"Beautifully designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-210-06-AT,"Dazzling Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,3200,3200,,,,,Juda-210-06-(01).jpg,Antique Juda,"Dazzling Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-217-06-AT,"Marvelous and Magnificant Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,2700,2700,,,,,Juda-217-06-AT.jpg,Antique Juda,"Marvelous and Magnificant Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-215-06-AT,"A classy contemporary designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1650,1650,,,,,Juda-215-06-AT.jpg,Antique Juda,"A classy contemporary designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-213-06-AT,"Unique designer Antique Juda  with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1650,1650,,,,,Juda-213-06-01-(1).jpg,Antique Juda,"Unique designer Antique Juda  with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-221-06-AT,"Artistic designed Antique Juda  with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,2600,2600,,,,,Juda-221-06-01-(1).jpg,Antique Juda,"Artistic designed Antique Juda  with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-203-16-AT,"Mystical designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,850,850,,,,,"Juda-203-16-01-(1).jpg,Juda-203-16-01-(1)-(01).jpg",Antique Juda,"Mystical designed Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-006-9025-AT,"Alluring Antique Juda with   Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1125,1125,,,,,Juda-006-9025-01-(1).jpg,Antique Juda,"Alluring Antique Juda with   Brass, Crystal Drop, Antique Polish and Octon Stone"
Antique Juda,Juda-008-9025-AT,"Gorgeous Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1075,1075,,,,,Juda-008-9025-01-(1).jpg,Antique Juda,"Gorgeous Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-011-9025-MC,"Superior designed  & elegant  Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,900,900,,,,,Juda-011-9025-01-(1).jpg,Micro Juda,"Superior designed  & elegant  Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-017-9025-MC,"Sophisticated & Elegant designed Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1100,1100,,,,,"Juda-017-9025-01-(1).jpg,Juda-017-9025-01-(4).jpg,Juda-017-9025-01-(6).jpg,Juda-017-9025-01-(8).jpg,Juda-017-9025-01-(8)-(01).jpg,Juda-032-9025-01-(2).jpg",Micro Juda,"Sophisticated & Elegant designed Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-017-9025-MC,"Marvelous Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone ",,,,,10,1100,1100,,,,,"Juda-017-9025-01-(1).jpg,Juda-017-9025-01-(4).jpg,Juda-017-9025-01-(6).jpg,Juda-017-9025-01 -(8).jpg,Juda-017-9025-01-(8)-(01).jpg,Juda-032-9025-01-(2).jpg",Micro Juda,"Marvelous Micro Juda with Brass, Crystal Drop, Antique Polish and Octon Stone "
Micro Juda,Juda-005-9025-MC,"Elegant Micro  Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1100,1100,,,,,Juda-005-9025-01-(1).jpg,Micro Juda,"Elegant Micro  Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-283-68-MC,"Exquisite Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,990,990,,,,,Juda-283-68-01-(1).jpg,Micro Juda,"Exquisite Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-004-9025-MC,"Classic looking Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone",,,,,10,1050,1050,,,,,Juda-004-9025-01-(1).jpg,Micro Juda,"Classic looking Antique Juda with Brass, Crystal Drop, Antique Polish and Octon Stone"
Micro Juda,Juda-276-68-MC,"Elegant Kundan Stone, Silver With Gold Polish ",,,,,10,2350,2350,,,,,Juda-276-68-MC.jpg,Micro Juda,"Elegant Kundan Stone, Silver With Gold Polish "
