name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Payal-1290-22-AD,Pay-1290-22-AD,"Pick a designer collection, a beautiful artistic diamond with golden touch.",,,,,1,7690,7690,,,,,PAY-1290-22-01 (1).jpg,AD PAYAL,"Pick a designer collection, a beautiful artistic diamond with golden touch."
American Diamond Payal-1291-101-AD,Pay-1291-101-AD,Step with beat of artistic payal with circled diamonds.,,,,,1,4150,4150,,,,,PAY-1291-101-01.jpg,AD PAYAL,Step with beat of artistic payal with circled diamonds.
American Diamond Payal-981-67-AD,Pay--981-67-AD,Floral designer payal which will conquer the party with its shine.,,,,,1,7500,7500,,,,,PAY-981-67-01 (1).jpg,AD PAYAL,Floral designer payal which will conquer the party with its shine.
American Diamond Payal-1936-33-AD,Pay-1936-33-AD,Drop of American diamonds engraved in this beautiful payal.,,,,,1,3650,3650,,,,,PAY-1936-33-01 (3).jpg,AD PAYAL,Drop of American diamonds engraved in this beautiful payal.
American Diamond Payal-802-13-AD,Pay-802-13-AD,A series of beautiful diamond spokes adjoining with a small diamond gives a superior look to your personality.,,,,,1,7750,7750,,,,,PAY-802-13-01 (1).jpg,AD PAYAL,A series of beautiful diamond spokes adjoining with a small diamond gives a superior look to your personality.
American Diamond Payal-1940-33-AD,Pay-1940-33-AD,,,,,,1,3150,3150,,,,,PAY-1940-22-01 (1).jpg,AD PAYAL,
American Diamond Payal-1137-13-AD,Pay-1137-13-AD,"Design elegantly with care,the sparkling payal.",,,,,1,3400,3400,,,,,PAY-1137-22-01 (1).jpg,AD PAYAL,"Design elegantly with care,the sparkling payal."
American Diamond Payal-1288-22-AD,Pay-1288-22-AD,A pave of beautiful diamonds gives it a magical princess look.,,,,,1,3580,3580,,,,,PAY-1288-22-01 (1).jpg,AD PAYAL,A pave of beautiful diamonds gives it a magical princess look.
American Diamond Payal-1016-33-AD,Pay-1016-33-AD,A hollow leaf shape design embedded with American diamond make this payal stand out in a crowd of hundred.,,,,,1,3500,3500,,,,,PAY-1016-33-01 (1).jpg,AD PAYAL,A hollow leaf shape design embedded with American diamond make this payal stand out in a crowd of hundred.
American Diamond Payal-824-13-AD,Pay-824-13-AD,Eye sparkling beauty of American Diamond payal can make anyone bend down to kness.,,,,,1,3850,3850,,,,,PAY-824-13-01 (1).jpg,AD PAYAL,Eye sparkling beauty of American Diamond payal can make anyone bend down to kness.
American Diamond Payal-1277-13-AD,Pay-1277-13-AD,A series of beautiful diamond spokes adjoining with a small diamond gives a superior look to your personality.,,,,,1,3250,3250,,,,,PAY-1277-13-01 (3).jpg,AD PAYAL,A series of beautiful diamond spokes adjoining with a small diamond gives a superior look to your personality.
American Diamond Payal-1285-22-AD,Pay-1285-22-AD,A semi diamond shape design gives this payal dynasties look.,,,,,1,3890,3890,,,,,PAY-1285-22-01 (1).jpg,AD PAYAL,A semi diamond shape design gives this payal dynasties look.
American Diamond Payal-512-25-AD,Pay-512-25-AD,The heart pump payal designed beautifully with American diamond.,,,,,1,2450,2450,,,,,PAY-512-25-01 (1).jpg,AD PAYAL,The heart pump payal designed beautifully with American diamond.
American Diamond Payal-796-13-AD,Pay-796-13-AD,,,,,,1,3500,3500,,,,,PAY-796-13-01-(1)_n.jpg,AD PAYAL,
American Diamond Payal-1283-22-AD,Pay-1283-22-AD,Engraved with beautiful designer diamonds payal which carry away on any attitre.,,,,,1,3850,3850,,,,,PAY-1283-22-01 (1).jpg,AD PAYAL,Engraved with beautiful designer diamonds payal which carry away on any attitre.
American Diamond Payal-1281-22-AD,Pay-1281-22-AD,Adorable American Diamond payal suited to charm for any party look.,,,,,1,3500,3500,,,,,PAY-1281-22-01 (1).jpg,AD PAYAL,Adorable American Diamond payal suited to charm for any party look.
American Diamond Payal-1287-22-AD,Pay-1287-22-AD,Beautiful payal for the beautiful in you a wedding designed payal which can flaunt anyone with its dazzling look.,,,,,1,9950,9950,,,,,PAY-1287-22-01 (1).jpg,AD PAYAL,Beautiful payal for the beautiful in you a wedding designed payal which can flaunt anyone with its dazzling look.
American Diamond Payal-986-67-AD,Pay-986-67-AD,Simple & Sophistication is what describe the natural beauty of this designer payal.,,,,,1,7995,7995,,,,,PAY-986-67-01 (1).jpg,AD PAYAL,Simple & Sophistication is what describe the natural beauty of this designer payal.
American Diamond Payal-1939-33-AD,Pay-1939-33-AD,Handpicked designer collection of American diamond payal to suite any occasion.,,,,,1,5100,5100,,,,,PAY-1939-33-01 (1).jpg,AD PAYAL,Handpicked designer collection of American diamond payal to suite any occasion.
American Diamond Payal-1942-33-AD,Pay-1942-33-AD,Stunning payal with petal shaped give you a floral look of elegance.,,,,,1,7000,7000,,,,,PAY-1942-33-01 (1).jpg,AD PAYAL,Stunning payal with petal shaped give you a floral look of elegance.
American Diamond Payal-1143-13-AD,Pay-1143-13-AD,American diamond engraved in petal shaped will make world come to their knees.,,,,,1,4450,4450,,,,,PAY-1143-13-01 (2).jpg,AD PAYAL,American diamond engraved in petal shaped will make world come to their knees.
American Diamond Payal-1132-67-AD,Pay-1132-67-AD,Exotic payal with detailed finishing gives it emerald look.,,,,,1,4250,4250,,,,,PAY-1132-67-01 (1).jpg,AD PAYAL,Exotic payal with detailed finishing gives it emerald look.
American Diamond Payal-1134-67-AD,Pay-1134-67-AD,A flaunt beauty engrafted in this American diamond payal.,,,,,1,5450,5450,,,,,PAY-1134-67-01 (1).jpg,AD PAYAL,A flaunt beauty engrafted in this American diamond payal.
American Diamond Payal-1141-13-AD,Pay-1141-13-AD,Ready to go & show the beauty of yours with American diamond payal.,,,,,1,7000,7000,,,,,PAY-1141-13-01 (1).jpg,AD PAYAL,Ready to go & show the beauty of yours with American diamond payal.
American Diamond Payal-682-13-AD,Pay-682-13-AD,"Just in glance you will fall in love with this payal, beautifully designed with American diamonds.",,,,,1,4000,4000,,,,,PAY-682-13-01 (2).jpg,AD PAYAL,"Just in glance you will fall in love with this payal, beautifully designed with American diamonds."
American Diamond Payal-896-13-AD,Pay-896-13-AD,Nothing can justify the dazzling beauty of this total engraved American payal.,,,,,1,8900,8900,,,,,PAY-896-13-01 (1)n.jpg,AD PAYAL,Nothing can justify the dazzling beauty of this total engraved American payal.
Sterling Silver-1274-52-SS,Pay-1274-52-SS,Beauty at its best in silver sterling payal.,,,,,1,3790,3790,,,,,PAY-1274-52-01 (1).jpg,AD PAYAL,Beauty at its best in silver sterling payal.
American Diamond Payal-799-13-AD,Pay-799-13-AD,Designer payal which keep you on the toe of trend.,,,,,1,3100,3100,,,,,PAY-799-13-01 (1)_n.jpg,AD PAYAL,Designer payal which keep you on the toe of trend.
American Diamond Payal-1292-101-AD,Pay-1292-101-AD,Magnifico! Only word for this beauitful American diamond payal.,,,,,1,4150,4150,,,,,PAY-1292-101-01 (1).jpg,AD PAYAL,Magnifico! Only word for this beauitful American diamond payal.
