name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Bangle ,BAN-5110-22-AD,Delicate bangle with treated emerald and american diamond in 92.5 sterling silver,,,,,1,2795,2795,,,,,BAN-5110-22-AD_(1).jpg,AD Bangle,Delicate bangle with treated emerald and american diamond in 92.5 sterling silver
American Diamond Bangle ,BAN-5109-22-AD,Delicate bangle with treated ruby and american diamond in 92.5 sterling silver,,,,,1,2795,2795,,,,,BAN-5109-22-AD_(2).jpg,AD Bangle,Delicate bangle with treated ruby and american diamond in 92.5 sterling silver
American Diamond Bangle ,KDA-1435-111-AD,"Openable bangle with replicate arrangement of american diamond, ruby and emerald in 92.5 sterling silver",,,,,1,3650,3650,,,,,KDA-1435-111-AD.jpg,AD Bangle,"Openable bangle with replicate arrangement of american diamond, ruby and emerald in 92.5 sterling silver"
American Diamond Bangle ,BAN-7192-22-AD,delicate bangle with treated blue sapphire and american diamond in 92.5 sterling silver,,,,,1,5250,5250,,,,,"BAN-7192-22-AD.jpg, BAN-7192-22-AD_(02).jpg, BAN-7192-22-AD_(2).jpg",AD Bangle,delicate bangle with treated blue sapphire and american diamond in 92.5 sterling silver
American Diamond Bangle ,KDA-1436-111-AD,Bold american diamond bangle with 2-tone finish in 92.5 sterling silver,,,,,1,2450,2450,,,,,KDA-1436-111-AD.jpg,AD Bangle,Bold american diamond bangle with 2-tone finish in 92.5 sterling silver
American Diamond finger-ring ,FIN-314-9001-AD,5 row eternity band in 92.5 sterling silver,,,,,1,2650,2650,,,,,"999FIN3149001AD.jpg, 999FIN3149001AD01.Jpg, 999FIN3149001AD02.jpg",Finger Ring,5 row eternity band in 92.5 sterling silver
American Diamond finger-ring ,FIN-319-9001-AD,5 row eternity band in 92.5 sterling silver,,,,,1,2700,2700,,,,,"999FIN3199001AD.jpg, 999FIN3199001AD(2).Jpg, 999FIN3199001AD01.jpg",Finger Ring,5 row eternity band in 92.5 sterling silver
American Diamond finger-ring ,FIN-595-70-AD,Princess cut diamond with micropave surround in 92.5 sterling silver.,,,,,1,12500,12500,,,,,"999FIN59570AD.jpg, 999FIN59570AD01.jpg, 999FIN59570AD02.jpg",Finger Ring,Princess cut diamond with micropave surround in 92.5 sterling silver.
American Diamond finger-ring ,FIN-540-32-AD,Single line prong set eternity band in 92.5 sterling silver,,,,,1,2500,2500,,,,,"999FIN54032AD.jpg, 999FIN54032AD01.jpg, 999FIN54032AD02.jpg",Finger Ring,Single line prong set eternity band in 92.5 sterling silver
American Daimond Kada,Kada-2371-33-AD,Diamond Kada with half golden & embedded with royal green stone which give a classy look.  ,,,,,1,3495,3495,,,,,"KADA-2371-33-01_(1).jpg, KADA-2371-33-01_(2).jpg, KADA-2371-33-01_(3).jpg",AD KADA,Diamond Kada with half golden & embedded with royal green stone which give a classy look.  
American Daimond Kada,Kada-2375-33-AD,3 oval shape diamond kada with half golden fitted with beautiful blue stone gives a dynasty look.,,,,,1,4095,4095,,,,,"KADA-2375-33-01_(1).jpg, KADA-2375-33-01_(2).jpg, KADA-2375-33-01_(3).jpg",AD KADA,3 oval shape diamond kada with half golden fitted with beautiful blue stone gives a dynasty look.
American Daimond Kada,Kada-2180-33-AD,"Floral shape diamond kada with trilogy of 3 beautiful stones embedded in it, to give sparkling look.",,,,,1,2250,2250,,,,,"KADA-2180-33-01_(1).jpg, KADA-2180-33-01_(2).jpg, KADA-2180-33-01_(3).jpg",AD KADA,"Floral shape diamond kada with trilogy of 3 beautiful stones embedded in it, to give sparkling look."
American Daimond Kada,Kada-2373-33-AD,Hybrid design of stones & diamond create the unique look to bright up the eyes. ,,,,,1,4195,4195,,,,,"KADA-2373-33-01_(1).jpg, KADA-2373-33-01_(2).jpg, KADA-2373-33-01_(3).jpg, KADA-2373-33-01_(5).jpg, KADA-2373-33-01_(6).jpg, KADA-2373-33-01_(7).jpg",AD KADA,Hybrid design of stones & diamond create the unique look to bright up the eyes. 
American Daimond Kada,Kada-591-71-AD,The Princess look kada with floral design makes it a jewellery designed for fairytale wedding.,,,,,1,3795,3795,,,,,"KADA-591-71-01_(3).jpg, KADA-591-71-01_(4).jpg, KADA-591-71-01_(5).jpg",AD KADA,The Princess look kada with floral design makes it a jewellery designed for fairytale wedding.
American Daimond Kada,Kada-2727-22-AD,Mystical design of beautiful pink & sparkling diamond will surely  compliment your charming beauty ,,,,,1,11000,11000,,,,,"KADA-2727-33-01_(1).jpg, KADA-2727-33-01_(3).jpg, KADA-2727-33-01_(4).jpg",AD KADA,Mystical design of beautiful pink & sparkling diamond will surely  compliment your charming beauty 
American Daimond Kada,Kada-2177-33-AD,Blend of Pink & Diamond creates the bubbly look which can go on every occasion. ,,,,,1,3200,3200,,,,,"KADA-2177-33-01_(1).jpg, KADA-2177-33-01_(2).jpg, KADA-2177-33-01_(3).jpg",AD KADA,Blend of Pink & Diamond creates the bubbly look which can go on every occasion. 
