name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Pearl Mala-6439-24,Mala-6439-24-PRL,Beautiful beads placed together to give this Necklace an amazing look which will say your style statement.,,,,,1,11600,11600,,,,,Mala-6439-24-01 (1) .jpg,MALA,Beautiful beads placed together to give this Necklace an amazing look which will say your style statement.
Pearl Mala-1642-138,Mala-1642-138-PRL,Red is forever & this pearl Necklace will imprint his impression forever.,,,,,1,9000,9000,,,,,Mala-1642-138-01 (1).jpg,MALA,Red is forever & this pearl Necklace will imprint his impression forever.
Pearl Mala-6427-16,Mala-6427-16-PRL,Dazzling blue pearls make this necklace so stunning that it can flaunt anyone.,,,,,1,14500,14500,,,,,Mala-6427-16-01 (1).jpg,MALA,Dazzling blue pearls make this necklace so stunning that it can flaunt anyone.
Pearl Mala-1655-138,Mala-1655-138-PRL,One is good but double is better this red Necklace is designed for celebrations.,,,,,1,11000,11000,,,,,Mala-1655-138-01 (1).jpg,MALA,One is good but double is better this red Necklace is designed for celebrations.
Pearl Mala-1647-138,Mala-1647-138-PRL,Triplet beauty is enhanced in this gorgeous Red Necklace.,,,,,1,20000,20000,,,,,Mala-1647-138-01 (1).jpg,MALA,Triplet beauty is enhanced in this gorgeous Red Necklace.
Pearl Mala-1663-138,Mala-1663-138-PRL,Blue symbolize the color of royal so do this blue Necklace too.,,,,,1,10800,10800,,,,,Mala-1663-138-01 (1).jpg,MALA,Blue symbolize the color of royal so do this blue Necklace too.
Pearl Mala-6496-16,Mala-6496-16-PRL,Green is the color of beauty in nature & this green Necklace is the color of your beauty.,,,,,1,18000,18000,,,,,Mala-6496-16-01 (1).jpg,MALA,Green is the color of beauty in nature & this green Necklace is the color of your beauty.
Pearl Mala-1654-138,Mala-1654-138-PRL,Green is the color of beauty in nature & this green Necklace is the color of your beauty.,,,,,1,11000,11000,,,,,Mala-1654-138-01 (1).jpg,MALA,Green is the color of beauty in nature & this green Necklace is the color of your beauty.
Pearl Mala-6430-16,Mala-6430-16-PRL,Red is to attract the attention by wearing this Red Necklace you will surely get the attraction from others.,,,,,1,5800,5800,,,,,Mala-6430-16-01 (1).jpg,MALA,Red is to attract the attention by wearing this Red Necklace you will surely get the attraction from others.
Pearl Mala-1660-138,Mala-1660-138-PRL,For the colorful people we have a multi-colored beads Necklace.,,,,,1,24000,24000,,,,,Mala-1660-138-01 (1).jpg,MALA,For the colorful people we have a multi-colored beads Necklace.
Pearl Mala-1653-138,Mala-1653-138-PRL,Dazzling blue pearls make this necklace so stunning that it can flaunt anyone.,,,,,1,11000,11000,,,,,Mala-1653-138-01 (1).jpg,MALA,Dazzling blue pearls make this necklace so stunning that it can flaunt anyone.
Pearl Mala-9231-62,Set-9231-62-PRL,Multi- stone Necklace for the people who loves to party.,,,,,1,5850,5850,,,,,"Set-9231-62-01 (1).jpg, Set-9231-62-01 (3).jpg, Set-9231-62-01 (4).jpg",MALA,Multi- stone Necklace for the people who loves to party.
Pearl Mala-8333-67,Set-8333-67-PRL,"Inspired by Greek goddess beauty, this stunning design Necklace will swoon anyone.",,,,,1,5595,5595,,,,,"Set-8333-67-01 (1).jpg, Set-8333-67-01 (5).jpg",MALA,"Inspired by Greek goddess beauty, this stunning design Necklace will swoon anyone."
Pearl Mala-8330-67,Set-8330-67-PRL,Inspired by the world's beautiful floral design this Necklace is perfect for a sophisticated party.,,,,,1,7295,7295,,,,,"Set-8330-67-01 (1).jpg, Set-8330-67-01 (5).jpg, Set-8330-67-01 (6).jpg",MALA,Inspired by the world's beautiful floral design this Necklace is perfect for a sophisticated party.
Pearl Mala-8337-67,Set-8337-67-PRL,Inspired by the world's beautiful floral design this Necklace is perfect for a sophisticated party.,,,,,1,2595,2595,,,,,"Set-8337-67-01 (1).jpg, Set-8337-67-01 (3).jpg, Set-8337-67-01 (4).jpg",MALA,Inspired by the world's beautiful floral design this Necklace is perfect for a sophisticated party.
Pearl Mala-8328-67,Set-8328-67-PRL,Design of this floral & pearl Necklace is crafted for the floral beauty.,,,,,1,3995,3995,,,,,"Set-8328-67-01 (1).jpg, Set-8328-67-01 (3).jpg, Set-8328-67-01 (4).jpg",MALA,Design of this floral & pearl Necklace is crafted for the floral beauty.
Pearl Mala-1635-24,Mala-1635-24-PRL,Every single pearl is circled with American diamond to give this Necklace set a classy look.,,,,,1,11500,11500,,,,,"Mala-1635-24-01 (1).jpg, Mala-1635-24-01 (3).jpg, Mala-1635-24-01 (4).jpg",MALA,Every single pearl is circled with American diamond to give this Necklace set a classy look.
Pearl Mala-6495-133,Mala-6495-133-PRL,Forget Italy fashion or Paris fashion this Stunning multi- stone Necklace will take the world behind you.,,,,,1,5095,5095,,,,,Mala-6495-133-01 (1).jpg,MALA,Forget Italy fashion or Paris fashion this Stunning multi- stone Necklace will take the world behind you.
Pearl Mala-6489-133,Mala-6489-133-PRL,"Ecstasy, Elegance or any synonym of this will described this charming Necklace.",,,,,1,4295,4295,,,,,Mala-6489-133-01.jpg,MALA,"Ecstasy, Elegance or any synonym of this will described this charming Necklace."
Pearl Mala-6484-133,Mala-6484-133-PRL,Beauty with perfection can be seen in this elegantly designed necklace.,,,,,1,5095,5095,,,,,Mala-6484-133-01 (1).jpg,MALA,Beauty with perfection can be seen in this elegantly designed necklace.
Pearl Mala-6493-133,Mala-6493-133-PRL,Cuteness is filled in this beautiful elegant necklace.,,,,,1,7095,7095,,,,,Mala-6493-133-01 (1).jpg,MALA,Cuteness is filled in this beautiful elegant necklace.
Pearl Mala-429-16,Mala-429-16-PRL,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.,,,,,1,6000,6000,,,,,"Mala-429-16-01 (1).jpg, Mala-429-16-01 (3).jpg, Mala-429-16-01 (4).jpg",MALA,Especially handcrafted for the real occasion this exquisite necklace is worth wearing.
Pearl Mala-599-62,Mala-599-62-PRL,"Artistic design at its best, a brilliant piece of art in this necklace truly deserves the second look.",,,,,1,4550,4550,,,,,"Mala-599-62-01 (1).jpg, Mala-599-62-01 (3).jpg, Mala-599-62-01 (4).jpg",MALA,"Artistic design at its best, a brilliant piece of art in this necklace truly deserves the second look."
