name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi Set ,Set-8796-57-VL ,Brilliant piece of Vilandi set designed with Acute Diamond and Meenakari,,,,,10,8490,8490,,,,,"Set-8796-57-01 (1).jpg,Set-8796-57-01 (3).jpg,Set-8796-57-01 (4).jpg",Vilandi Necklace Set,Brilliant piece of Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-9053-24-VL ,Gorgeous Vilandi set designed with Acute Diamond and Meenakari,,,,,10,7350,7350,,,,,"Set-9053-24-01 (1).jpg,Set-9053-24-01 (3).jpg,Set-9053-24-01 (4).jpg",Vilandi Necklace Set,Gorgeous Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-9335-56-VL ,Exquisite  and Elegant Vilandi set designed with Acute Diamond and Meenakari,,,,,10,12350,12350,,,,,"Set-9335-56-01 (1).jpg,Set-9335-56-01 (3).jpg,Set-9335-56-01 (8).jpg",Vilandi Necklace Set,Exquisite  and Elegant Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-8559-57-VL , Dazzling Vilandi set designed with Acute Diamond and Meenakari,,,,,10,8750,8750,,,,,"Set-8559-57-01 (1).jpg,Set-8559-57-01 (3).jpg,Set-8559-57-01 (4).jpg",Vilandi Necklace Set, Dazzling Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-8804-57-VL ,Beautifully designeed Vilandi set designed with Acute Diamond and Meenakari,,,,,10,7000,7000,,,,,"Set-8804-57-01 (1).jpg,Set-8804-57-01 (3).jpg,Set-8804-57-01 (4).jpg",Vilandi Necklace Set,Beautifully designeed Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set,Set-8816-57-VL ,Artistic Vilandi set Acute Diamond and Meenakari,,,,,10,5850,5850,,,,,"Set-8816-57-01 (1).jpg,Set-8816-57-01 (3).jpg,Set-8816-57-01 (4).jpg",Vilandi Necklace Set,Artistic Vilandi set Acute Diamond and Meenakari
Vilandi Set,Set-9170-56-VL ,Stunning and Elegant Vilandi set designed with Acute Diamond and Meenakari,,,,,10,9650,9650,,,,,"Set-9170-56-01 (1).jpg,Set-9170-56-01 (2).jpg,Set-9170-56-01 (3).jpg",Vilandi Necklace Set,Stunning and Elegant Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set,Set-8809-57-VL,Stunning and fashionable Vilandi set designed with Acute Diamond and Meenakari,,,,,10,5250,5250,,,,,"Set-8809-57-01 (1).jpg,Set-8809-57-01 (3).jpg,Set-8809-57-01 (4).jpg",Vilandi Necklace Set,Stunning and fashionable Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-9335-56-VL ,Amazing  and sophisticated Vilandi set designed with Acute Diamond and Meenakari,,,,,10,12350,12350,,,,,"Set-9335-56-01 (1).jpg,Set-9335-56-01 (3).jpg,Set-9335-56-01 (8).jpg",Vilandi Necklace Set,Amazing  and sophisticated Vilandi set designed with Acute Diamond and Meenakari
American Diamond Necklace Set,Set-8259-24-AD,Majestic necklace set with Acute Diamond With American Diamond and Meenakari ,,,,,10,21000,21000,,,,,"Set-8259-24-01 (2).jpg,Set-8259-24-01 (4).jpg",AD Necklace Set,Majestic necklace set with Acute Diamond With American Diamond and Meenakari 
